Territori;Tipus de territori;year;price_per_m2;total_rent_price
Barcelona;Municipi;2000;6,0;408,27
Ciutat Vella;Districte;2000;5,53;325,19
el Raval;Barri;2000;;
el Barri Gotic;Barri;2000;;
la Barceloneta;Barri;2000;;
Sant Pere Santa Caterina i la Ribera;Barri;2000;;
Eixample;Districte;2000;5,75;436,38
el Fort Pienc;Barri;2000;;
la Sagrada Familia;Barri;2000;;
la Dreta de l Eixample;Barri;2000;;
l Antiga Esquerra de l Eixample;Barri;2000;;
la Nova Esquerra de l Eixample;Barri;2000;;
Sant Antoni;Barri;2000;;
Sants Montjuic;Districte;2000;6,05;336,56
el Poble Sec - AEI Parc Montjuic;Barri;2000;;
la Marina del Prat Vermell - AEI Zona Franca;Barri;2000;;
la Marina de Port;Barri;2000;;
la Font de la Guatlla;Barri;2000;;
Hostafrancs;Barri;2000;;
la Bordeta;Barri;2000;;
Sants - Badal;Barri;2000;;
Sants;Barri;2000;;
Les Corts;Districte;2000;7,59;567,73
les Corts;Barri;2000;;
la Maternitat i Sant Ramon;Barri;2000;;
Pedralbes;Barri;2000;;
Sarria - Sant Gervasi;Districte;2000;7,4;631,19
Vallvidrera el Tibidabo i les Planes;Barri;2000;;
Sarria;Barri;2000;;
les Tres Torres;Barri;2000;;
Sant Gervasi - la Bonanova;Barri;2000;;
Sant Gervasi - Galvany;Barri;2000;;
el Putxet i el Farro;Barri;2000;;
Gracia;Districte;2000;6,32;370,86
Vallcarca i els Penitents;Barri;2000;;
el Coll;Barri;2000;;
la Salut;Barri;2000;;
la Vila de Gracia;Barri;2000;;
el Camp d en Grassot i Gracia Nova;Barri;2000;;
Horta - Guinardo;Districte;2000;5,75;334,52
el Baix Guinardo;Barri;2000;;
Can Baro;Barri;2000;;
el Guinardo;Barri;2000;;
la Font d en Fargues;Barri;2000;;
el Carmel;Barri;2000;;
la Teixonera;Barri;2000;;
Sant Genis dels Agudells;Barri;2000;;
Montbau;Barri;2000;;
la Vall d Hebron;Barri;2000;;
la Clota;Barri;2000;;
Horta;Barri;2000;;
Nou Barris;Districte;2000;5,41;330,99
Vilapicina i la Torre Llobeta;Barri;2000;;
Porta;Barri;2000;;
el Turo de la Peira;Barri;2000;;
Can Peguera;Barri;2000;;
la Guineueta;Barri;2000;;
Canyelles;Barri;2000;;
les Roquetes;Barri;2000;;
Verdun;Barri;2000;;
la Prosperitat;Barri;2000;;
la Trinitat Nova;Barri;2000;;
Torre Baro;Barri;2000;;
Ciutat Meridiana;Barri;2000;;
Vallbona;Barri;2000;;
Sant Andreu;Districte;2000;5,46;339,49
la Trinitat Vella;Barri;2000;;
Baro de Viver;Barri;2000;;
el Bon Pastor;Barri;2000;;
Sant Andreu;Barri;2000;;
la Sagrera;Barri;2000;;
el Congres i els Indians;Barri;2000;;
Navas;Barri;2000;;
Sant Marti;Districte;2000;5,74;341,65
el Camp de l Arpa del Clot;Barri;2000;;
el Clot;Barri;2000;;
el Parc i la Llacuna del Poblenou;Barri;2000;;
la Vila Olimpica del Poblenou;Barri;2000;;
el Poblenou;Barri;2000;;
Diagonal Mar i el Front Maritim del Poblenou;Barri;2000;;
el Besos i el Maresme;Barri;2000;;
Provencals del Poblenou;Barri;2000;;
Sant Marti de Provencals;Barri;2000;;
la Verneda i la Pau;Barri;2000;;
Barcelona;Municipi;2001;6,87;466,34
Ciutat Vella;Districte;2001;6,43;350,92
el Raval;Barri;2001;;
el Barri Gotic;Barri;2001;;
la Barceloneta;Barri;2001;;
Sant Pere Santa Caterina i la Ribera;Barri;2001;;
Eixample;Districte;2001;6,81;515,19
el Fort Pienc;Barri;2001;;
la Sagrada Familia;Barri;2001;;
la Dreta de l Eixample;Barri;2001;;
l Antiga Esquerra de l Eixample;Barri;2001;;
la Nova Esquerra de l Eixample;Barri;2001;;
Sant Antoni;Barri;2001;;
Sants Montjuic;Districte;2001;6,68;381,93
el Poble Sec - AEI Parc Montjuic;Barri;2001;;
la Marina del Prat Vermell - AEI Zona Franca;Barri;2001;;
la Marina de Port;Barri;2001;;
la Font de la Guatlla;Barri;2001;;
Hostafrancs;Barri;2001;;
la Bordeta;Barri;2001;;
Sants - Badal;Barri;2001;;
Sants;Barri;2001;;
Les Corts;Districte;2001;8,64;627,0
les Corts;Barri;2001;;
la Maternitat i Sant Ramon;Barri;2001;;
Pedralbes;Barri;2001;;
Sarria - Sant Gervasi;Districte;2001;8,24;659,92
Vallvidrera el Tibidabo i les Planes;Barri;2001;;
Sarria;Barri;2001;;
les Tres Torres;Barri;2001;;
Sant Gervasi - la Bonanova;Barri;2001;;
Sant Gervasi - Galvany;Barri;2001;;
el Putxet i el Farro;Barri;2001;;
Gracia;Districte;2001;7,04;425,72
Vallcarca i els Penitents;Barri;2001;;
el Coll;Barri;2001;;
la Salut;Barri;2001;;
la Vila de Gracia;Barri;2001;;
el Camp d en Grassot i Gracia Nova;Barri;2001;;
Horta - Guinardo;Districte;2001;6,45;390,5
el Baix Guinardo;Barri;2001;;
Can Baro;Barri;2001;;
el Guinardo;Barri;2001;;
la Font d en Fargues;Barri;2001;;
el Carmel;Barri;2001;;
la Teixonera;Barri;2001;;
Sant Genis dels Agudells;Barri;2001;;
Montbau;Barri;2001;;
la Vall d Hebron;Barri;2001;;
la Clota;Barri;2001;;
Horta;Barri;2001;;
Nou Barris;Districte;2001;6,25;369,37
Vilapicina i la Torre Llobeta;Barri;2001;;
Porta;Barri;2001;;
el Turo de la Peira;Barri;2001;;
Can Peguera;Barri;2001;;
la Guineueta;Barri;2001;;
Canyelles;Barri;2001;;
les Roquetes;Barri;2001;;
Verdun;Barri;2001;;
la Prosperitat;Barri;2001;;
la Trinitat Nova;Barri;2001;;
Torre Baro;Barri;2001;;
Ciutat Meridiana;Barri;2001;;
Vallbona;Barri;2001;;
Sant Andreu;Districte;2001;6,08;385,04
la Trinitat Vella;Barri;2001;;
Baro de Viver;Barri;2001;;
el Bon Pastor;Barri;2001;;
Sant Andreu;Barri;2001;;
la Sagrera;Barri;2001;;
el Congres i els Indians;Barri;2001;;
Navas;Barri;2001;;
Sant Marti;Districte;2001;6,5;398,12
el Camp de l Arpa del Clot;Barri;2001;;
el Clot;Barri;2001;;
el Parc i la Llacuna del Poblenou;Barri;2001;;
la Vila Olimpica del Poblenou;Barri;2001;;
el Poblenou;Barri;2001;;
Diagonal Mar i el Front Maritim del Poblenou;Barri;2001;;
el Besos i el Maresme;Barri;2001;;
Provencals del Poblenou;Barri;2001;;
Sant Marti de Provencals;Barri;2001;;
la Verneda i la Pau;Barri;2001;;
Barcelona;Municipi;2002;7,62;519,81
Ciutat Vella;Districte;2002;7,29;412,05
el Raval;Barri;2002;;
el Barri Gotic;Barri;2002;;
la Barceloneta;Barri;2002;;
Sant Pere Santa Caterina i la Ribera;Barri;2002;;
Eixample;Districte;2002;7,47;564,66
el Fort Pienc;Barri;2002;;
la Sagrada Familia;Barri;2002;;
la Dreta de l Eixample;Barri;2002;;
l Antiga Esquerra de l Eixample;Barri;2002;;
la Nova Esquerra de l Eixample;Barri;2002;;
Sant Antoni;Barri;2002;;
Sants Montjuic;Districte;2002;7,51;437,04
el Poble Sec - AEI Parc Montjuic;Barri;2002;;
la Marina del Prat Vermell - AEI Zona Franca;Barri;2002;;
la Marina de Port;Barri;2002;;
la Font de la Guatlla;Barri;2002;;
Hostafrancs;Barri;2002;;
la Bordeta;Barri;2002;;
Sants - Badal;Barri;2002;;
Sants;Barri;2002;;
Les Corts;Districte;2002;8,9;621,48
les Corts;Barri;2002;;
la Maternitat i Sant Ramon;Barri;2002;;
Pedralbes;Barri;2002;;
Sarria - Sant Gervasi;Districte;2002;9,06;742,94
Vallvidrera el Tibidabo i les Planes;Barri;2002;;
Sarria;Barri;2002;;
les Tres Torres;Barri;2002;;
Sant Gervasi - la Bonanova;Barri;2002;;
Sant Gervasi - Galvany;Barri;2002;;
el Putxet i el Farro;Barri;2002;;
Gracia;Districte;2002;8,08;495,73
Vallcarca i els Penitents;Barri;2002;;
el Coll;Barri;2002;;
la Salut;Barri;2002;;
la Vila de Gracia;Barri;2002;;
el Camp d en Grassot i Gracia Nova;Barri;2002;;
Horta - Guinardo;Districte;2002;7,09;421,21
el Baix Guinardo;Barri;2002;;
Can Baro;Barri;2002;;
el Guinardo;Barri;2002;;
la Font d en Fargues;Barri;2002;;
el Carmel;Barri;2002;;
la Teixonera;Barri;2002;;
Sant Genis dels Agudells;Barri;2002;;
Montbau;Barri;2002;;
la Vall d Hebron;Barri;2002;;
la Clota;Barri;2002;;
Horta;Barri;2002;;
Nou Barris;Districte;2002;7,15;426,97
Vilapicina i la Torre Llobeta;Barri;2002;;
Porta;Barri;2002;;
el Turo de la Peira;Barri;2002;;
Can Peguera;Barri;2002;;
la Guineueta;Barri;2002;;
Canyelles;Barri;2002;;
les Roquetes;Barri;2002;;
Verdun;Barri;2002;;
la Prosperitat;Barri;2002;;
la Trinitat Nova;Barri;2002;;
Torre Baro;Barri;2002;;
Ciutat Meridiana;Barri;2002;;
Vallbona;Barri;2002;;
Sant Andreu;Districte;2002;6,71;431,44
la Trinitat Vella;Barri;2002;;
Baro de Viver;Barri;2002;;
el Bon Pastor;Barri;2002;;
Sant Andreu;Barri;2002;;
la Sagrera;Barri;2002;;
el Congres i els Indians;Barri;2002;;
Navas;Barri;2002;;
Sant Marti;Districte;2002;7,47;467,71
el Camp de l Arpa del Clot;Barri;2002;;
el Clot;Barri;2002;;
el Parc i la Llacuna del Poblenou;Barri;2002;;
la Vila Olimpica del Poblenou;Barri;2002;;
el Poblenou;Barri;2002;;
Diagonal Mar i el Front Maritim del Poblenou;Barri;2002;;
el Besos i el Maresme;Barri;2002;;
Provencals del Poblenou;Barri;2002;;
Sant Marti de Provencals;Barri;2002;;
la Verneda i la Pau;Barri;2002;;
Barcelona;Municipi;2003;8,0;550,59
Ciutat Vella;Districte;2003;7,59;443,15
el Raval;Barri;2003;;
el Barri Gotic;Barri;2003;;
la Barceloneta;Barri;2003;;
Sant Pere Santa Caterina i la Ribera;Barri;2003;;
Eixample;Districte;2003;7,88;595,48
el Fort Pienc;Barri;2003;;
la Sagrada Familia;Barri;2003;;
la Dreta de l Eixample;Barri;2003;;
l Antiga Esquerra de l Eixample;Barri;2003;;
la Nova Esquerra de l Eixample;Barri;2003;;
Sant Antoni;Barri;2003;;
Sants Montjuic;Districte;2003;7,77;453,74
el Poble Sec - AEI Parc Montjuic;Barri;2003;;
la Marina del Prat Vermell - AEI Zona Franca;Barri;2003;;
la Marina de Port;Barri;2003;;
la Font de la Guatlla;Barri;2003;;
Hostafrancs;Barri;2003;;
la Bordeta;Barri;2003;;
Sants - Badal;Barri;2003;;
Sants;Barri;2003;;
Les Corts;Districte;2003;9,34;667,71
les Corts;Barri;2003;;
la Maternitat i Sant Ramon;Barri;2003;;
Pedralbes;Barri;2003;;
Sarria - Sant Gervasi;Districte;2003;9,35;762,15
Vallvidrera el Tibidabo i les Planes;Barri;2003;;
Sarria;Barri;2003;;
les Tres Torres;Barri;2003;;
Sant Gervasi - la Bonanova;Barri;2003;;
Sant Gervasi - Galvany;Barri;2003;;
el Putxet i el Farro;Barri;2003;;
Gracia;Districte;2003;8,41;507,39
Vallcarca i els Penitents;Barri;2003;;
el Coll;Barri;2003;;
la Salut;Barri;2003;;
la Vila de Gracia;Barri;2003;;
el Camp d en Grassot i Gracia Nova;Barri;2003;;
Horta - Guinardo;Districte;2003;7,65;463,88
el Baix Guinardo;Barri;2003;;
Can Baro;Barri;2003;;
el Guinardo;Barri;2003;;
la Font d en Fargues;Barri;2003;;
el Carmel;Barri;2003;;
la Teixonera;Barri;2003;;
Sant Genis dels Agudells;Barri;2003;;
Montbau;Barri;2003;;
la Vall d Hebron;Barri;2003;;
la Clota;Barri;2003;;
Horta;Barri;2003;;
Nou Barris;Districte;2003;7,28;438,43
Vilapicina i la Torre Llobeta;Barri;2003;;
Porta;Barri;2003;;
el Turo de la Peira;Barri;2003;;
Can Peguera;Barri;2003;;
la Guineueta;Barri;2003;;
Canyelles;Barri;2003;;
les Roquetes;Barri;2003;;
Verdun;Barri;2003;;
la Prosperitat;Barri;2003;;
la Trinitat Nova;Barri;2003;;
Torre Baro;Barri;2003;;
Ciutat Meridiana;Barri;2003;;
Vallbona;Barri;2003;;
Sant Andreu;Districte;2003;7,25;462,25
la Trinitat Vella;Barri;2003;;
Baro de Viver;Barri;2003;;
el Bon Pastor;Barri;2003;;
Sant Andreu;Barri;2003;;
la Sagrera;Barri;2003;;
el Congres i els Indians;Barri;2003;;
Navas;Barri;2003;;
Sant Marti;Districte;2003;7,65;484,76
el Camp de l Arpa del Clot;Barri;2003;;
el Clot;Barri;2003;;
el Parc i la Llacuna del Poblenou;Barri;2003;;
la Vila Olimpica del Poblenou;Barri;2003;;
el Poblenou;Barri;2003;;
Diagonal Mar i el Front Maritim del Poblenou;Barri;2003;;
el Besos i el Maresme;Barri;2003;;
Provencals del Poblenou;Barri;2003;;
Sant Marti de Provencals;Barri;2003;;
la Verneda i la Pau;Barri;2003;;
Barcelona;Municipi;2004;8,68;584,78
Ciutat Vella;Districte;2004;8,56;469,86
el Raval;Barri;2004;;
el Barri Gotic;Barri;2004;;
la Barceloneta;Barri;2004;;
Sant Pere Santa Caterina i la Ribera;Barri;2004;;
Eixample;Districte;2004;8,45;635,36
el Fort Pienc;Barri;2004;;
la Sagrada Familia;Barri;2004;;
la Dreta de l Eixample;Barri;2004;;
l Antiga Esquerra de l Eixample;Barri;2004;;
la Nova Esquerra de l Eixample;Barri;2004;;
Sant Antoni;Barri;2004;;
Sants Montjuic;Districte;2004;8,68;498,79
el Poble Sec - AEI Parc Montjuic;Barri;2004;;
la Marina del Prat Vermell - AEI Zona Franca;Barri;2004;;
la Marina de Port;Barri;2004;;
la Font de la Guatlla;Barri;2004;;
Hostafrancs;Barri;2004;;
la Bordeta;Barri;2004;;
Sants - Badal;Barri;2004;;
Sants;Barri;2004;;
Les Corts;Districte;2004;9,96;705,08
les Corts;Barri;2004;;
la Maternitat i Sant Ramon;Barri;2004;;
Pedralbes;Barri;2004;;
Sarria - Sant Gervasi;Districte;2004;10,0;823,76
Vallvidrera el Tibidabo i les Planes;Barri;2004;;
Sarria;Barri;2004;;
les Tres Torres;Barri;2004;;
Sant Gervasi - la Bonanova;Barri;2004;;
Sant Gervasi - Galvany;Barri;2004;;
el Putxet i el Farro;Barri;2004;;
Gracia;Districte;2004;9,27;548,96
Vallcarca i els Penitents;Barri;2004;;
el Coll;Barri;2004;;
la Salut;Barri;2004;;
la Vila de Gracia;Barri;2004;;
el Camp d en Grassot i Gracia Nova;Barri;2004;;
Horta - Guinardo;Districte;2004;8,28;501,24
el Baix Guinardo;Barri;2004;;
Can Baro;Barri;2004;;
el Guinardo;Barri;2004;;
la Font d en Fargues;Barri;2004;;
el Carmel;Barri;2004;;
la Teixonera;Barri;2004;;
Sant Genis dels Agudells;Barri;2004;;
Montbau;Barri;2004;;
la Vall d Hebron;Barri;2004;;
la Clota;Barri;2004;;
Horta;Barri;2004;;
Nou Barris;Districte;2004;7,94;472,72
Vilapicina i la Torre Llobeta;Barri;2004;;
Porta;Barri;2004;;
el Turo de la Peira;Barri;2004;;
Can Peguera;Barri;2004;;
la Guineueta;Barri;2004;;
Canyelles;Barri;2004;;
les Roquetes;Barri;2004;;
Verdun;Barri;2004;;
la Prosperitat;Barri;2004;;
la Trinitat Nova;Barri;2004;;
Torre Baro;Barri;2004;;
Ciutat Meridiana;Barri;2004;;
Vallbona;Barri;2004;;
Sant Andreu;Districte;2004;7,85;508,35
la Trinitat Vella;Barri;2004;;
Baro de Viver;Barri;2004;;
el Bon Pastor;Barri;2004;;
Sant Andreu;Barri;2004;;
la Sagrera;Barri;2004;;
el Congres i els Indians;Barri;2004;;
Navas;Barri;2004;;
Sant Marti;Districte;2004;8,2;531,91
el Camp de l Arpa del Clot;Barri;2004;;
el Clot;Barri;2004;;
el Parc i la Llacuna del Poblenou;Barri;2004;;
la Vila Olimpica del Poblenou;Barri;2004;;
el Poblenou;Barri;2004;;
Diagonal Mar i el Front Maritim del Poblenou;Barri;2004;;
el Besos i el Maresme;Barri;2004;;
Provencals del Poblenou;Barri;2004;;
Sant Marti de Provencals;Barri;2004;;
la Verneda i la Pau;Barri;2004;;
Barcelona;Municipi;2005;9,64;636,02
Ciutat Vella;Districte;2005;9,76;539,29
el Raval;Barri;2005;;
el Barri Gotic;Barri;2005;;
la Barceloneta;Barri;2005;;
Sant Pere Santa Caterina i la Ribera;Barri;2005;;
Eixample;Districte;2005;9,49;703,06
el Fort Pienc;Barri;2005;;
la Sagrada Familia;Barri;2005;;
la Dreta de l Eixample;Barri;2005;;
l Antiga Esquerra de l Eixample;Barri;2005;;
la Nova Esquerra de l Eixample;Barri;2005;;
Sant Antoni;Barri;2005;;
Sants Montjuic;Districte;2005;9,51;558,73
el Poble Sec - AEI Parc Montjuic;Barri;2005;;
la Marina del Prat Vermell - AEI Zona Franca;Barri;2005;;
la Marina de Port;Barri;2005;;
la Font de la Guatlla;Barri;2005;;
Hostafrancs;Barri;2005;;
la Bordeta;Barri;2005;;
Sants - Badal;Barri;2005;;
Sants;Barri;2005;;
Les Corts;Districte;2005;10,78;742,43
les Corts;Barri;2005;;
la Maternitat i Sant Ramon;Barri;2005;;
Pedralbes;Barri;2005;;
Sarria - Sant Gervasi;Districte;2005;10,85;863,57
Vallvidrera el Tibidabo i les Planes;Barri;2005;;
Sarria;Barri;2005;;
les Tres Torres;Barri;2005;;
Sant Gervasi - la Bonanova;Barri;2005;;
Sant Gervasi - Galvany;Barri;2005;;
el Putxet i el Farro;Barri;2005;;
Gracia;Districte;2005;10,18;620,95
Vallcarca i els Penitents;Barri;2005;;
el Coll;Barri;2005;;
la Salut;Barri;2005;;
la Vila de Gracia;Barri;2005;;
el Camp d en Grassot i Gracia Nova;Barri;2005;;
Horta - Guinardo;Districte;2005;9,18;552,09
el Baix Guinardo;Barri;2005;;
Can Baro;Barri;2005;;
el Guinardo;Barri;2005;;
la Font d en Fargues;Barri;2005;;
el Carmel;Barri;2005;;
la Teixonera;Barri;2005;;
Sant Genis dels Agudells;Barri;2005;;
Montbau;Barri;2005;;
la Vall d Hebron;Barri;2005;;
la Clota;Barri;2005;;
Horta;Barri;2005;;
Nou Barris;Districte;2005;8,88;513,48
Vilapicina i la Torre Llobeta;Barri;2005;;
Porta;Barri;2005;;
el Turo de la Peira;Barri;2005;;
Can Peguera;Barri;2005;;
la Guineueta;Barri;2005;;
Canyelles;Barri;2005;;
les Roquetes;Barri;2005;;
Verdun;Barri;2005;;
la Prosperitat;Barri;2005;;
la Trinitat Nova;Barri;2005;;
Torre Baro;Barri;2005;;
Ciutat Meridiana;Barri;2005;;
Vallbona;Barri;2005;;
Sant Andreu;Districte;2005;8,98;569,4
la Trinitat Vella;Barri;2005;;
Baro de Viver;Barri;2005;;
el Bon Pastor;Barri;2005;;
Sant Andreu;Barri;2005;;
la Sagrera;Barri;2005;;
el Congres i els Indians;Barri;2005;;
Navas;Barri;2005;;
Sant Marti;Districte;2005;9,2;605,93
el Camp de l Arpa del Clot;Barri;2005;;
el Clot;Barri;2005;;
el Parc i la Llacuna del Poblenou;Barri;2005;;
la Vila Olimpica del Poblenou;Barri;2005;;
el Poblenou;Barri;2005;;
Diagonal Mar i el Front Maritim del Poblenou;Barri;2005;;
el Besos i el Maresme;Barri;2005;;
Provencals del Poblenou;Barri;2005;;
Sant Marti de Provencals;Barri;2005;;
la Verneda i la Pau;Barri;2005;;
Barcelona;Municipi;2006;10,56;695,75
Ciutat Vella;Districte;2006;10,69;597,6
el Raval;Barri;2006;;
el Barri Gotic;Barri;2006;;
la Barceloneta;Barri;2006;;
Sant Pere Santa Caterina i la Ribera;Barri;2006;;
Eixample;Districte;2006;10,26;750,73
el Fort Pienc;Barri;2006;;
la Sagrada Familia;Barri;2006;;
la Dreta de l Eixample;Barri;2006;;
l Antiga Esquerra de l Eixample;Barri;2006;;
la Nova Esquerra de l Eixample;Barri;2006;;
Sant Antoni;Barri;2006;;
Sants Montjuic;Districte;2006;10,49;620,93
el Poble Sec - AEI Parc Montjuic;Barri;2006;;
la Marina del Prat Vermell - AEI Zona Franca;Barri;2006;;
la Marina de Port;Barri;2006;;
la Font de la Guatlla;Barri;2006;;
Hostafrancs;Barri;2006;;
la Bordeta;Barri;2006;;
Sants - Badal;Barri;2006;;
Sants;Barri;2006;;
Les Corts;Districte;2006;11,85;829,15
les Corts;Barri;2006;;
la Maternitat i Sant Ramon;Barri;2006;;
Pedralbes;Barri;2006;;
Sarria - Sant Gervasi;Districte;2006;11,63;917,66
Vallvidrera el Tibidabo i les Planes;Barri;2006;;
Sarria;Barri;2006;;
les Tres Torres;Barri;2006;;
Sant Gervasi - la Bonanova;Barri;2006;;
Sant Gervasi - Galvany;Barri;2006;;
el Putxet i el Farro;Barri;2006;;
Gracia;Districte;2006;11,26;668,71
Vallcarca i els Penitents;Barri;2006;;
el Coll;Barri;2006;;
la Salut;Barri;2006;;
la Vila de Gracia;Barri;2006;;
el Camp d en Grassot i Gracia Nova;Barri;2006;;
Horta - Guinardo;Districte;2006;10,18;630,0
el Baix Guinardo;Barri;2006;;
Can Baro;Barri;2006;;
el Guinardo;Barri;2006;;
la Font d en Fargues;Barri;2006;;
el Carmel;Barri;2006;;
la Teixonera;Barri;2006;;
Sant Genis dels Agudells;Barri;2006;;
Montbau;Barri;2006;;
la Vall d Hebron;Barri;2006;;
la Clota;Barri;2006;;
Horta;Barri;2006;;
Nou Barris;Districte;2006;9,94;582,13
Vilapicina i la Torre Llobeta;Barri;2006;;
Porta;Barri;2006;;
el Turo de la Peira;Barri;2006;;
Can Peguera;Barri;2006;;
la Guineueta;Barri;2006;;
Canyelles;Barri;2006;;
les Roquetes;Barri;2006;;
Verdun;Barri;2006;;
la Prosperitat;Barri;2006;;
la Trinitat Nova;Barri;2006;;
Torre Baro;Barri;2006;;
Ciutat Meridiana;Barri;2006;;
Vallbona;Barri;2006;;
Sant Andreu;Districte;2006;9,57;601,72
la Trinitat Vella;Barri;2006;;
Baro de Viver;Barri;2006;;
el Bon Pastor;Barri;2006;;
Sant Andreu;Barri;2006;;
la Sagrera;Barri;2006;;
el Congres i els Indians;Barri;2006;;
Navas;Barri;2006;;
Sant Marti;Districte;2006;10,35;682,06
el Camp de l Arpa del Clot;Barri;2006;;
el Clot;Barri;2006;;
el Parc i la Llacuna del Poblenou;Barri;2006;;
la Vila Olimpica del Poblenou;Barri;2006;;
el Poblenou;Barri;2006;;
Diagonal Mar i el Front Maritim del Poblenou;Barri;2006;;
el Besos i el Maresme;Barri;2006;;
Provencals del Poblenou;Barri;2006;;
Sant Marti de Provencals;Barri;2006;;
la Verneda i la Pau;Barri;2006;;
Barcelona;Municipi;2007;11,54;766,18
Ciutat Vella;Districte;2007;11,6;660,96
el Raval;Barri;2007;;
el Barri Gotic;Barri;2007;;
